MonthYear,MTHW Consumption kWh,192 Consumption KWh,Med School Steam,Cumberland College,Total Consumption
Oct_2013,1461660.0,0.0,898028.326,0.0,898028.326
Oct_2013,890533.0,0.0,670143.674,0.0,670143.674
Nov_2013,698871.0,0.0,658405.0,0.0,658405.0
Dec_2013,742527.0,0.0,624331.0,0.0,624331.0
Jan_2014,768501.0,0.0,630391.0,0.0,630391.0
Feb_2014,824522.0,0.0,664281.0,0.0,664281.0
Mar_2014,1392125.0,0.0,747062.0,0.0,747062.0
Apr_2014,1793482.0,0.0,1251398.0,0.0,1251398.0
May_2014,1649016.0,0.0,1005186.0,0.0,1005186.0
Jun_2014,2143617.0,0.0,1292649.0,0.0,1292649.0
Jul_2014,2019585.0,0.0,1209981.0,0.0,1209981.0
Aug_2014,1590248.0,0.0,947444.0,0.0,947444.0
Sep_2014,1588987.0,0.0,917787.0,0.0,917787.0
Oct_2014,1263497.0,0.0,1026155.0,0.0,1026155.0
Nov_2014,909064.0,0.0,728452.0,0.0,728452.0
Dec_2014,133374.0,0.0,525224.0,0.0,525224.0
Jan_2015,671217.0,0.0,458035.0,0.0,458035.0
Feb_2015,221654.0,0.0,693553.0,0.0,693553.0
Mar_2015,1251200.0,0.0,845264.0,0.0,845264.0
Apr_2015,1937850.0,0.0,1118159.0,0.0,1118159.0
May_2015,2310330.0,0.0,1189441.0,0.0,1189441.0
Jun_2015,2610780.0,0.0,1459160.0,0.0,1459160.0
Jul_2015,2538660.0,0.0,1319037.0,0.0,1319037.0
Aug_2015,2239000.0,0.0,1192428.0,0.0,1192428.0
Sep_2015,1592020.0,0.0,953244.0,0.0,953244.0
Oct_2015,1259890.0,0.0,755662.0,0.0,755662.0
Nov_2015,891480.0,0.0,709376.0,0.0,709376.0
Dec_2015,965140.0,0.0,604578.0,0.0,604578.0
Jan_2016,755550.0,0.0,415161.0,0.0,415161.0
Feb_2016,1124730.0,0.0,568437.0,0.0,568437.0
Mar_2016,1376570.0,0.0,759446.0,0.0,759446.0
Apr_2016,1371580.0,0.0,936554.0,0.0,936554.0
May_2016,2322200.0,0.0,981764.0,0.0,981764.0
Jun_2016,2698640.0,0.0,1246385.0,0.0,1246385.0
Jul_2016,2729420.0,92640.0,1302193.0,0.0,1394833.0
Aug_2016,2154610.0,57050.0,1047905.0,0.0,1104955.0
Sep_2016,1705270.0,53840.0,832862.0,0.0,886702.0
Oct_2016,1312070.0,32620.0,709123.0,0.0,741743.0
Nov_2016,983180.0,18440.0,798088.0,0.0,816528.0
Dec_2016,950000.0,18830.0,637467.0,0.0,656297.0
Jan_2017,760000.0,17960.0,548945.0,0.0,566905.0
Feb_2017,1100000.0,46270.0,763204.0,0.0,809474.0
Mar_2017,1250000.0,48350.0,763138.0,0.0,811488.0
Apr_2017,1860000.0,72810.0,1014443.0,0.0,1087253.0
May_2017,2250000.0,66400.0,1160149.0,0.0,1226549.0
Jun_2017,2600000.0,82270.0,1199921.0,0.0,1282191.0
Jul_2017,2280000.0,72580.0,1056395.0,0.0,1128975.0
Aug_2017,2050000.0,65790.0,902478.0,0.0,968268.0
Sep_2017,1800000.0,51970.0,710280.0,0.0,762250.0
Oct_2017,1250000.0,32000.0,624533.6690698601,0.0,656533.6690698601
Nov_2017,850000.0,1780.0,457770.33093013987,0.0,459550.33093013987
Dec_2017,900000.0,10300.0,513746.0,0.0,524046.0
Jan_2018,522148.0,17620.0,450724.0,0.0,468344.0
Feb_2018,951000.0,35200.0,618372.0,0.0,653572.0
Mar_2018,1600000.0,48800.0,731842.0,0.0,780642.0
Apr_2018,2280000.0,69040.0,922568.0,0.0,991608.0
May_2018,2099430.0,67030.0,931560.0,0.0,998590.0
Jun_2018,2564280.0,77460.0,994643.0,0.0,1072103.0
Jul_2018,2436650.0,78090.0,1148075.0,0.0,1226165.0
Aug_2018,2135960.0,62680.0,594798.0,0.0,657478.0
Sep_2018,1854730.0,55550.0,874899.0,0.0,930449.0
Oct_2018,1339430.0,28940.0,816771.0,0.0,845711.0
Nov_2018,939950.0,20370.0,731614.0,0.0,751984.0
Dec_2018,843030.0,10030.0,627045.0,0.0,637075.0
Jan_2019,870650.0,21370.0,710991.0,0.0,732361.0
Feb_2019,928510.0,24430.0,625072.0,0.0,649502.0
Mar_2019,1570180.0,49190.0,978383.0,0.0,1027573.0
Apr_2019,1903020.0,68370.0,1103652.0,0.0,1172022.0
May_2019,2117240.0,56030.0,1171603.0,0.0,1227633.0
Jun_2019,2240190.0,78220.0,809984.0,0.0,888204.0
Jul_2019,2502010.0,80130.0,1368595.0,0.0,1448725.0
Aug_2019,2104040.0,71450.0,775330.0,0.0,846780.0
Aug_2019,2059870.0,62930.0,1118712.0,0.0,1181642.0
Sep_2019,1153870.0,27690.0,613567.0,0.0,641257.0
Oct_2019,1088650.0,23730.0,874800.0,0.0,898530.0
Nov_2019,969870.0,0.0,564212.0,0.0,564212.0
Dec_2019,917130.0,35360.0,627670.0,0.0,663030.0
Jan_2020,1310570.0,33430.0,756287.0,0.0,789717.0
Feb_2020,1112170.0,36980.0,887506.0,0.0,924486.0
Mar_2020,1570250.0,50520.0,968306.0,0.0,1018826.0
Apr_2020,1991767.0,58720.0,1031360.0,0.0,1090080.0
May_2020,2034420.0,73440.0,1284329.0,0.0,1357769.0
Jun_2020,1554580.0,67500.0,982856.1813,0.0,1050356.1813
Jul_2020,1452960.0,61430.0,1225778.8187000044,0.0,1287208.8187000044
Aug_2020,1348890.0,52900.0,947332.0,0.0,1000232.0
Sep_2020,1286760.0,26880.0,758475.0,0.0,785355.0
Oct_2020,1115860.0,17730.0,774955.0,0.0,792685.0
Nov_2020,959670.0,14180.0,763173.0,0.0,777353.0
Dec_2020,829380.0,15580.0,491262.0,0.0,506842.0
Jan_2021,1082860.0,27490.0,631738.0,0.0,659228.0
Feb_2021,932860.0,44500.0,731710.0,0.0,776210.0
Mar_2021,2179897.0,57610.0,832027.0,0.0,889637.0
Apr_2021,2328480.0,67360.0,1001777.0,0.0,1069137.0
May_2021,2505780.0,79160.0,1231897.0,0.0,1311057.0
Jun_2021,2180230.0,69900.0,1098095.0,0.0,1167995.0
Jul_2021,2012460.0,61490.0,1052798.0,0.0,1114288.0
Aug_2021,1756730.0,44450.0,798649.0,0.0,843099.0
Sep_2021,1282250.0,17500.0,723850.0,0.0,741350.0
Oct_2021,939370.0,0.0,653607.0,13350.0,666957.0
Nov_2021,882860.0,0.0,590514.0,13215.254237288136,603729.2542372881
Dec_2021,886950.0,28300.0,401318.0,36448.30508474576,466066.30508474575
Jan_2022,1057320.0,70000.0,370932.0,103089.83050847458,544021.8305084746
Feb_2022,1390460.0,40900.0,738977.0,103089.83050847458,882966.8305084746
Mar_2022,1902630.0,68500.0,831502.0,163781.3559322034,1063783.3559322034
Apr_2022,2352150.0,74000.0,969359.0,163781.3559322034,1207140.3559322034
May_2022,2631050.0,97100.0,1312107.0,251062.7118644068,1660269.7118644067
Jun_2022,2193547.0,76500.0,795003.0,203389.83050847458,1074892.8305084745
Jul_2022,2084430.0,73900.0,934426.0,166368.64406779662,1174694.6440677966
Aug_2022,2046890.0,68800.0,954776.0,177627.9661016949,1201203.9661016949
Sep_2022,1236867.0,33400.0,765854.0,45924.576271186445,845178.5762711865
Oct_2022,536240.0,16900.0,766556.0,15254.237288135593,798710.2372881356
Nov_2022,806188.0,17800.0,515654.0,19491.525423728814,552945.5254237289
Dec_2022,784246.0,17800.0,478983.0,53989.83050847458,550772.8305084746
Jan_2023,1242068.0,30000.0,583912.0,68703.38983050847,682615.3898305085
Feb_2023,1582880.0,37900.0,607081.0,123746.61016949153,768727.6101694915
Mar_2023,1867226.0,47900.0,768523.0,168138.98305084746,984561.9830508474
Apr_2023,2183608.0,52500.0,883035.0,180145.76271186443,1115680.7627118644
May_2023,2485373.0,66400.0,1103702.0,201936.4406779661,1372038.440677966
Jun_2023,2752910.0,73700.0,1094251.0,235916.10169491527,1403867.1016949152
Jul_2023,2255240.0,46500.0,928589.0,173053.38983050847,1148142.3898305085
Aug_2023,2023701.0,44300.0,744957.0,158149.1525423729,947406.1525423729
Sep_2023,1275338.0,25500.0,733523.0,114005.93220338984,873028.9322033898
Oct_2023,1220450.0,11900.0,419260.0,42788.98305084746,473948.9830508475
Nov_2023,1090082.0,3400.0,780914.0,11666.101694915254,795980.1016949152
Dec_2023,1215228.0,18400.0,541965.0,39129.661016949154,599494.6610169491
Jan_2024,1750460.0,41900.0,744751.0,111105.08474576272,897756.0847457628
Feb_2024,1903140.0,44000.0,693855.0,109420.33898305085,847275.3389830509
Mar_2024,2682010.0,66300.0,924463.0,184469.49152542374,1175232.4915254237
Apr_2024,2502168.0,61600.0,874541.0,126818.64406779662,1062959.6440677966
May_2024,2672173.0,66000.0,893551.0,156921.18644067796,1116472.1864406778
Jun_2024,2725880.0,71500.0,983615.0,190316.9491525424,1245431.9491525423
Jul_2024,2257100.0,53800.0,808321.0,189910.16949152542,1052031.1694915255
Aug_2024,2097170.0,48100.0,770626.0,113948.30508474576,932674.3050847457
Sep_2024,1561870.0,25700.0,610205.0,0.0,635905.0
Oct_2024,0.0,0.0,0.0,0.0,0.0
